session_id,layout_id,layout_repeat,layout,seed,seat,agent,model_id,strategy_id,strategy_label,prompt_sha256,factorial_block_id,profit,ruin,win_rate,total_hands,hands_survived,session_completed,early_exit_rate,showdown_frequency
5,5,0,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b > nvidia/nemotron-3-super-120b-a12b,1738713278,0,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,1398.0,0,1.0,1,1.0,1,0.0,0.0
5,5,0,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b > nvidia/nemotron-3-super-120b-a12b,1738713278,1,stockmark__stockmark-2-100b-instruct,stockmark__stockmark-2-100b-instruct,,,,,6.0,0,0.0,1,1.0,1,0.0,0.0
5,5,0,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b > nvidia/nemotron-3-super-120b-a12b,1738713278,2,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,-702.0,0,0.0,1,1.0,1,0.0,0.0
5,5,0,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b > nvidia/nemotron-3-super-120b-a12b,1738713278,3,nvidia__nemotron-3-super-120b-a12b,nvidia__nemotron-3-super-120b-a12b,,,,,-702.0,0,0.0,1,1.0,1,0.0,0.0
6,6,0,nvidia/nemotron-3-super-120b-a12b > mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct,615827681,0,nvidia__nemotron-3-super-120b-a12b,nvidia__nemotron-3-super-120b-a12b,,,,,1600.0,0,1.0,1,1.0,1,0.0,0.0
6,6,0,nvidia/nemotron-3-super-120b-a12b > mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct,615827681,1,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,-800.0,0,0.0,1,1.0,1,0.0,0.0
6,6,0,nvidia/nemotron-3-super-120b-a12b > mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct,615827681,2,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,-800.0,0,0.0,1,1.0,1,0.0,0.0
6,6,0,nvidia/nemotron-3-super-120b-a12b > mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct,615827681,3,stockmark__stockmark-2-100b-instruct,stockmark__stockmark-2-100b-instruct,,,,,0.0,0,0.0,1,1.0,1,0.0,0.0
7,7,0,nvidia/nemotron-3-super-120b-a12b > mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b,1897570070,0,nvidia__nemotron-3-super-120b-a12b,nvidia__nemotron-3-super-120b-a12b,,,,,-4002.0,0,0.0,1,1.0,1,0.0,0.0
7,7,0,nvidia/nemotron-3-super-120b-a12b > mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b,1897570070,1,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,6.0,0,0.0,1,1.0,1,0.0,0.0
