agent,mean_profit,cvar_5,cvar_5_tail_size,cvar_5_is_fallback,cvar_5_low_support,cvar_5_method,cvar_5_effective_sample_size,ruin_probability,ruin_event_count,variance,win_rate,profit_per_hand,sample_count,hands_survived,session_completed_rate,early_exit_rate,forced_gwang_sell_rate,showdown_frequency,proposal_rate,accept_rate,reject_rate,showdown_ev_gain,showdown_misplay_rate
mistralai__mistral-small-4-119b-2603,-411.8333333333333,-5699.999999999999,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,2992353.9710144927,0.20833333333333334,-411.8333333333333,24,1.0,1.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0
nvidia__nemotron-3-super-120b-a12b,598.8333333333334,-3701.666666666666,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,9816923.36231884,0.4166666666666667,598.8333333333334,24,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
qwen__qwen3.5-122b-a10b,-429.5,-3701.666666666666,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,1693993.7391304348,0.125,-429.5,24,1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
stockmark__stockmark-2-100b-instruct,242.5,-5567.0,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,5814346.782608695,0.25,242.5,24,1.0,1.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0
