agent,mean_profit,cvar_5,cvar_5_tail_size,cvar_5_is_fallback,cvar_5_low_support,cvar_5_method,cvar_5_effective_sample_size,ruin_probability,ruin_event_count,variance,win_rate,profit_per_hand,sample_count,hands_survived,session_completed_rate,early_exit_rate,forced_gwang_sell_rate,showdown_frequency,proposal_rate,accept_rate,reject_rate,showdown_ev_gain,showdown_misplay_rate
mistralai__mistral-small-4-119b-2603,-73.1875,-4149.999999999999,3,False,False,empirical_expected_shortfall,2.4000000000000004,0.0,0,3993353.8151595746,0.2916666666666667,-73.1875,48,1.0,1.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
nvidia__nemotron-3-super-120b-a12b,500.6458333333333,-1384.1666666666667,3,False,False,empirical_expected_shortfall,2.4000000000000004,0.0,0,3372848.616578014,0.2708333333333333,500.6458333333333,48,0.625,0.625,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0
qwen__qwen3.5-122b-a10b,-172.85416666666666,-3350.4166666666665,3,False,False,empirical_expected_shortfall,2.4000000000000004,0.0,0,2481357.9144503544,0.1875,-172.85416666666666,48,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.125,0.0,0.0,0.0,0.0,0.0,0.0
stockmark__stockmark-2-100b-instruct,-254.60416666666666,-4267.083333333333,3,False,False,empirical_expected_shortfall,2.4000000000000004,0.0,0,3534310.3718971633,0.25,-254.60416666666666,48,1.0,1.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
