session_id,layout_id,layout_repeat,layout,seed,seat,agent,model_id,strategy_id,strategy_label,prompt_sha256,factorial_block_id,profit,ruin,win_rate,total_hands,hands_survived,session_completed,early_exit_rate,showdown_frequency
4,4,0,mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct,1432699275,3,stockmark__stockmark-2-100b-instruct,stockmark__stockmark-2-100b-instruct,,,,,-1000.0,0,0.0,1,1.0,1,0.0,0.0
5,5,1,mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct,1969382971,0,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,1797.0,0,1.0,1,1.0,1,0.0,0.0
5,5,1,mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct,1969382971,1,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,-903.0,0,0.0,1,1.0,1,0.0,0.0
5,5,1,mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct,1969382971,2,nvidia__nemotron-3-super-120b-a12b,nvidia__nemotron-3-super-120b-a12b,,,,,9.0,0,0.0,1,1.0,1,0.0,0.0
5,5,1,mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct,1969382971,3,stockmark__stockmark-2-100b-instruct,stockmark__stockmark-2-100b-instruct,,,,,-903.0,0,0.0,1,1.0,1,0.0,0.0
6,6,0,mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct > nvidia/nemotron-3-super-120b-a12b,697595024,0,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,-1200.0,0,0.0,1,1.0,1,0.0,0.0
6,6,0,mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct > nvidia/nemotron-3-super-120b-a12b,697595024,1,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,2400.0,0,1.0,1,1.0,1,0.0,0.0
6,6,0,mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct > nvidia/nemotron-3-super-120b-a12b,697595024,2,stockmark__stockmark-2-100b-instruct,stockmark__stockmark-2-100b-instruct,,,,,-1200.0,0,0.0,1,1.0,1,0.0,0.0
6,6,0,mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct > nvidia/nemotron-3-super-120b-a12b,697595024,3,nvidia__nemotron-3-super-120b-a12b,nvidia__nemotron-3-super-120b-a12b,,,,,0.0,0,0.0,1,0.0,0,1.0,0.0
7,7,1,mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct > nvidia/nemotron-3-super-120b-a12b,1858924220,0,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,797.0,0,1.0,1,1.0,1,0.0,0.0
