agent,mean_profit,cvar_5,cvar_5_tail_size,cvar_5_is_fallback,cvar_5_low_support,cvar_5_method,cvar_5_effective_sample_size,ruin_probability,ruin_event_count,variance,win_rate,profit_per_hand,sample_count,hands_survived,session_completed_rate,early_exit_rate,forced_gwang_sell_rate,showdown_frequency,proposal_rate,accept_rate,reject_rate,showdown_ev_gain,showdown_misplay_rate
google__gemma-2-2b-it,-68.75,-3833.3333333333326,3,False,False,empirical_expected_shortfall,2.4000000000000004,0.0,0,3041343.085106383,0.25,-68.75,48,0.7916666666666666,0.7916666666666666,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ibm__granite-3.0-3b-a800m-instruct,381.25,-1966.6666666666667,3,False,False,empirical_expected_shortfall,2.4000000000000004,0.0,0,5061555.85106383,0.3125,381.25,48,0.7916666666666666,0.7916666666666666,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meta__llama-3.2-1b-instruct,-20.833333333333332,-2083.3333333333335,3,False,False,empirical_expected_shortfall,2.4000000000000004,0.0,0,1548067.3758865248,0.2708333333333333,-20.833333333333332,48,0.7708333333333334,0.7708333333333334,0.22916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
microsoft__phi-4-mini-instruct,-291.6666666666667,-3916.666666666666,3,False,False,empirical_expected_shortfall,2.4000000000000004,0.0,0,2206737.5886524823,0.16666666666666666,-291.6666666666667,48,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
