agent,mean_profit,cvar_5,cvar_5_tail_size,cvar_5_is_fallback,cvar_5_low_support,cvar_5_method,cvar_5_effective_sample_size,ruin_probability,ruin_event_count,variance,win_rate,profit_per_hand,sample_count,hands_survived,session_completed_rate,early_exit_rate,forced_gwang_sell_rate,showdown_frequency,proposal_rate,accept_rate,reject_rate,showdown_ev_gain,showdown_misplay_rate
qwen3-1.7b,87.375,-803.3333333333333,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,757305.1141304348,0.08333333333333333,87.375,24,0.4583333333333333,0.4583333333333333,0.5416666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-14b,74.70833333333333,-3967.0,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,2512360.1286231885,0.4583333333333333,74.70833333333333,24,1.0,1.0,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.0,0.0
qwen3-4b,224.875,-1166.6666666666667,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,4060504.722826087,0.20833333333333334,224.875,24,1.0,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.041666666666666664,0.0,0.0
qwen3-8b,-386.9583333333333,-4066.666666666666,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,1804430.6503623188,0.25,-386.9583333333333,24,1.0,1.0,0.0,0.08333333333333333,0.0,0.041666666666666664,0.0,0.0,0.0,0.0
