agent,mean_profit,cvar_5,cvar_5_tail_size,cvar_5_is_fallback,cvar_5_low_support,cvar_5_method,cvar_5_effective_sample_size,ruin_probability,ruin_event_count,variance,win_rate,profit_per_hand,sample_count,hands_survived,session_completed_rate,early_exit_rate,forced_gwang_sell_rate,showdown_frequency,proposal_rate,accept_rate,reject_rate,showdown_ev_gain,showdown_misplay_rate
qwen3-coder-30b-a3b-instruct,-745.5833333333334,-5269.249999999999,3,False,False,empirical_expected_shortfall,2.4000000000000004,0.0,0,2102883.9929078016,0.10416666666666667,-372.7916666666667,48,2.0,1.0,0.0,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-coder-480b-a35b-instruct,-198.91666666666666,-5084.75,3,False,False,empirical_expected_shortfall,2.4000000000000004,0.0,0,4190880.0780141843,0.23958333333333334,-99.45833333333333,48,2.0,1.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0
qwen3.5-122b-a10b,-51.75,-4145.333333333333,3,False,False,empirical_expected_shortfall,2.4000000000000004,0.0,0,2928295.85106383,0.3541666666666667,-26.14736842105263,48,1.9791666666666667,0.9791666666666666,0.010416666666666666,0.21875,0.0,0.0,0.0,0.0,0.0,0.0
qwen3.5-397b-a17b,996.25,-1850.0833333333333,3,False,False,empirical_expected_shortfall,2.4000000000000004,0.0,0,9504587.085106382,0.3020833333333333,498.125,48,2.0,1.0,0.0,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0
