agent,mean_profit,cvar_5,cvar_5_tail_size,cvar_5_is_fallback,cvar_5_low_support,cvar_5_method,cvar_5_effective_sample_size,ruin_probability,ruin_event_count,variance,win_rate,profit_per_hand,sample_count,hands_survived,session_completed_rate,early_exit_rate,forced_gwang_sell_rate,showdown_frequency,proposal_rate,accept_rate,reject_rate,showdown_ev_gain,showdown_misplay_rate
qwen3-1.7b,-125.25,-2367.6666666666665,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,756310.6304347826,0.125,-125.25,24,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.125,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-14b,254.08333333333334,-1284.3333333333333,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,3670863.9057971016,0.25,254.08333333333334,24,0.875,0.875,0.125,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0
qwen3-4b,-187.91666666666666,-3266.8333333333335,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,1758623.2101449275,0.20833333333333334,-187.91666666666666,24,1.0,1.0,0.0,0.16666666666666666,0.0,0.0,0.041666666666666664,0.125,0.0,0.0
qwen3-8b,59.083333333333336,-3050.1666666666665,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,1557818.5144927537,0.4166666666666667,59.083333333333336,24,1.0,1.0,0.0,0.16666666666666666,0.0,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.0,0.0
