agent,mean_profit,cvar_5,cvar_5_tail_size,cvar_5_is_fallback,cvar_5_low_support,cvar_5_method,cvar_5_effective_sample_size,ruin_probability,ruin_event_count,variance,win_rate,profit_per_hand,sample_count,hands_survived,session_completed_rate,early_exit_rate,forced_gwang_sell_rate,showdown_frequency,proposal_rate,accept_rate,reject_rate,showdown_ev_gain,showdown_misplay_rate
qwen3-1.7b,166.25,-1800.833333333333,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,1072118.108695652,0.25,166.25,24,0.75,0.75,0.25,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-14b,-216.91666666666666,-1901.1666666666665,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,661713.4710144928,0.20833333333333334,-216.91666666666666,24,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-4b,-187.41666666666666,-1284.3333333333333,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,598448.2536231884,0.16666666666666666,-187.41666666666666,24,1.0,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-8b,238.08333333333334,-1301.6666666666667,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,1331391.5579710144,0.375,238.08333333333334,24,1.0,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
