agent,mean_profit,cvar_5,cvar_5_tail_size,cvar_5_is_fallback,cvar_5_low_support,cvar_5_method,cvar_5_effective_sample_size,ruin_probability,ruin_event_count,variance,win_rate,profit_per_hand,sample_count,hands_survived,session_completed_rate,early_exit_rate,forced_gwang_sell_rate,showdown_frequency,proposal_rate,accept_rate,reject_rate,showdown_ev_gain,showdown_misplay_rate
mistralai__mistral-small-4-119b-2603,16.666666666666668,-5566.666666666666,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,4182318.84057971,0.25,16.666666666666668,24,0.75,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nvidia__nemotron-3-super-120b-a12b,416.6666666666667,-1849.9999999999998,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,7464927.536231884,0.16666666666666666,416.6666666666667,24,0.5,0.5,0.5,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
qwen__qwen3.5-122b-a10b,-133.33333333333334,-2333.3333333333335,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,1642318.8405797102,0.25,-133.33333333333334,24,0.875,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stockmark__stockmark-2-100b-instruct,-300.0,-5733.333333333332,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,3589565.217391304,0.3333333333333333,-300.0,24,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
