ranking,agent,mean_profit,cvar_5,cvar_5_low_support,cvar_5_tail_size,ruin_probability,win_rate,sample_count
1,RuleBasedAgent,492.1166666666667,-103.53333333333333,False,60,0.0,0.3205361111111111,1200
2,SurvivalAgent,458.01416666666665,-81.15,False,60,0.0,0.40774444444444446,1200
3,GreedyProfitAgent,-117.49916666666667,-759.4666666666667,False,60,0.0008333333333333334,0.20199444444444445,1200
4,RandomAgent,-832.6316666666667,-1329.9833333333333,False,60,0.2808333333333333,0.069725,1200
