agent,mean_profit,cvar_5,cvar_5_tail_size,cvar_5_is_fallback,cvar_5_low_support,cvar_5_method,cvar_5_effective_sample_size,ruin_probability,ruin_event_count,variance,win_rate,profit_per_hand,sample_count,hands_survived,session_completed_rate,early_exit_rate,forced_gwang_sell_rate,showdown_frequency,proposal_rate,accept_rate,reject_rate,showdown_ev_gain,showdown_misplay_rate
mistralai__mistral-small-4-119b-2603,-491.6666666666667,-5066.666666666666,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,2844958.144927536,0.25,-491.6666666666667,24,1.0,1.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
nvidia__nemotron-3-super-120b-a12b,645.1666666666666,-2066.9999999999995,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,6596273.014492754,0.2916666666666667,645.1666666666666,24,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
qwen__qwen3.5-122b-a10b,187.16666666666666,-1836.9999999999998,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,2681170.4057971016,0.25,187.16666666666666,24,1.0,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
stockmark__stockmark-2-100b-instruct,-340.6666666666667,-5066.666666666666,2,True,True,empirical_expected_shortfall,1.2000000000000002,0.0,0,3048164.0579710146,0.20833333333333334,-340.6666666666667,24,1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
